"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","DK01","R-U","THS","Y_GE15","53.8"
"2008","DK01","NRP","THS","Y_GE15",":"
"2008","DK02","TOTAL","THS","Y_GE15","412.0"
"2008","DK02","A","THS","Y_GE15","10.1"
"2008","DK02","B-E","THS","Y_GE15","60.4"
"2008","DK02","F","THS","Y_GE15","37.9"
"2008","DK02","G-I","THS","Y_GE15","100.1"
"2008","DK02","J","THS","Y_GE15","13.4"
"2008","DK02","K","THS","Y_GE15","12.8"
"2008","DK02","L","THS","Y_GE15","4.0"
"2008","DK02","M_N","THS","Y_GE15","28.2"
"2008","DK02","O-Q","THS","Y_GE15","130.4"
"2008","DK02","R-U","THS","Y_GE15","14.8"
"2008","DK02","NRP","THS","Y_GE15",":"
"2008","DK03","TOTAL","THS","Y_GE15","602.1"
"2008","DK03","A","THS","Y_GE15","24.4"
"2008","DK03","B-E","THS","Y_GE15","124.2"
"2008","DK03","F","THS","Y_GE15","45.1"
"2008","DK03","G-I","THS","Y_GE15","148.2"
"2008","DK03","J","THS","Y_GE15","11.0"
"2008","DK03","K","THS","Y_GE15","10.9"
"2008","DK03","L","THS","Y_GE15","6.1"
"2008","DK03","M_N","THS","Y_GE15","33.8"
"2008","DK03","O-Q","THS","Y_GE15","176.3"
"2008","DK03","R-U","THS","Y_GE15","22.3"
"2008","DK03","NRP","THS","Y_GE15",":"
"2008","DK04","TOTAL","THS","Y_GE15","653.1"
"2008","DK04","A","THS","Y_GE15","22.9"
"2008","DK04","B-E","THS","Y_GE15","129.4"
"2008","DK04","F","THS","Y_GE15","46.0"
"2008","DK04","G-I","THS","Y_GE15","148.6"
"2008","DK04","J","THS","Y_GE15","18.7"
"2008","DK04","K","THS","Y_GE15","14.9"
"2008","DK04","L","THS","Y_GE15","6.2"
"2008","DK04","M_N","THS","Y_GE15","44.0"
"2008","DK04","O-Q","THS","Y_GE15","196.5"
"2008","DK04","R-U","THS","Y_GE15","26.0"
"2008","DK04","NRP","THS","Y_GE15",":"
"2008","DK05","TOTAL","THS","Y_GE15","290.8"
"2008","DK05","A","THS","Y_GE15","10.3"
"2008","DK05","B-E","THS","Y_GE15","59.6"
"2008","DK05","F","THS","Y_GE15","19.2"
"2008","DK05","G-I","THS","Y_GE15","64.0"
"2008","DK05","J","THS","Y_GE15","7.9"
"2008","DK05","K","THS","Y_GE15","6.7"
"2008","DK05","L","THS","Y_GE15","2.7"
"2008","DK05","M_N","THS","Y_GE15","17.1"
"2008","DK05","O-Q","THS","Y_GE15","90.4"
"2008","DK05","R-U","THS","Y_GE15","12.9"
"2008","DK05","NRP","THS","Y_GE15",":"
"2008","DE11","TOTAL","THS","Y_GE15","1,999.0"
"2008","DE11","A","THS","Y_GE15","27.0"
